season,label,seed,school_ncaa,opp_seed,opp_ncaa
1994,win,09,Boston College,05,Indiana
2007,win,07,Boston College,10,Texas Tech
2001,win,03,Boston College,14,Southern Utah
1994,win,09,Boston College,08,Washington St.
1994,win,09,Boston College,01,North Carolina
1985,win,02,Georgia Tech,15,Mercer
1988,win,05,Georgia Tech,12,Iowa St.
2005,win,05,Georgia Tech,12,George Washington
1985,win,02,Georgia Tech,07,Syracuse
1985,win,02,Georgia Tech,03,Illinois
1994,win,10,George Washington,07,UAB
2006,win,08,George Washington,09,UNCW
2000,win,08,Kansas,09,DePaul
1990,win,02,Kansas,15,Robert Morris
2002,win,01,Maryland,02,UConn
2002,win,01,Maryland,04,Kentucky
2002,win,01,Maryland,05,Indiana
2002,win,01,Maryland,08,Wisconsin
2002,win,01,Maryland,16,Siena
2002,win,01,Maryland,01,Kansas
2008,win,05,Notre Dame,12,George Mason
2016,win,06,Notre Dame,07,Wisconsin
2016,win,06,Notre Dame,14,SFA
1989,win,09,Notre Dame,08,Vanderbilt
1987,win,05,Notre Dame,04,TCU
1987,win,05,Notre Dame,12,Middle Tenn.
2016,win,06,Notre Dame,11,Michigan
2002,win,04,Kentucky,12,Tulsa
2011,win,04,Kentucky,05,West Virginia
2002,win,04,Kentucky,13,Valparaiso
2001,win,02,Kentucky,07,Iowa
1992,win,02,Kentucky,10,Iowa St.
2001,win,02,Kentucky,15,Holy Cross
2016,win,04,Kentucky,13,Stony Brook
2010,win,01,Kentucky,12,Cornell
2010,win,01,Kentucky,09,Wake Forest
2011,win,04,Kentucky,02,North Carolina
1992,win,02,Kentucky,03,Massachusetts
2011,win,04,Kentucky,13,Princeton
2011,win,04,Kentucky,01,Ohio St.
2010,win,01,Kentucky,16,ETSU
1992,win,02,Kentucky,15,Old Dominion
1995,win,05,Alabama,12,Penn
1996,win,12,Arkansas,04,Marquette
2008,win,09,Arkansas,08,Indiana
1993,win,04,Arkansas,13,Holy Cross
1993,win,04,Arkansas,05,St. John's (NY)
1996,win,12,Arkansas,05,Penn St.
2003,win,10,Auburn,02,Wake Forest
2003,win,10,Auburn,07,Saint Joseph's
2017,win,03,Baylor,14,New Mexico St.
2017,win,03,Baylor,11,Southern California
2008,win,07,Butler,10,South Ala.
2003,win,12,Butler,05,Mississippi St.
2013,win,06,Butler,11,Bucknell
2003,win,12,Butler,04,Louisville
1990,win,09,California,08,Indiana
1997,win,05,California,12,Princeton
1997,win,05,California,04,Villanova
2003,win,08,California,09,NC State
2013,win,12,California,05,UNLV
1993,win,02,Cincinnati,06,Virginia
2004,win,04,Cincinnati,13,ETSU
2012,win,06,Cincinnati,03,Florida St.
2012,win,06,Cincinnati,11,Texas
1999,win,03,Cincinnati,14,George Mason
1993,win,02,Cincinnati,07,New Mexico St.
1993,win,02,Cincinnati,15,Coppin St.
2010,win,12,Cornell,04,Wisconsin
2010,win,12,Cornell,05,Temple
2015,win,11,Dayton,06,Providence
2015,win,11,Dayton,11,Boise St.
1986,win,12,DePaul,04,Oklahoma
1986,win,12,DePaul,05,Virginia
1991,win,12,Eastern Mich.,13,Penn St.
1991,win,12,Eastern Mich.,05,Mississippi St.
2000,win,05,Florida,03,Oklahoma St.
2000,win,05,Florida,12,Butler
2017,win,04,Florida,13,ETSU
1987,win,06,Florida,11,NC State
2017,win,04,Florida,05,Virginia
1994,win,03,Florida,11,Penn
2000,win,05,Florida,04,Illinois
1994,win,03,Florida,02,UConn
2000,win,05,Florida,01,Duke
2017,win,04,Florida,08,Wisconsin
1994,win,03,Florida,14,James Madison
2000,win,05,Florida,08,North Carolina
1994,win,03,Florida,09,Boston College
1987,win,06,Florida,03,Purdue
2012,win,03,Florida St.,14,St. Bonaventure
2011,win,08,George Mason,09,Villanova
1985,win,03,Illinois,14,Northeastern
2000,win,04,Illinois,13,Penn
2004,win,05,Illinois,12,Murray St.
1985,win,03,Illinois,06,Georgia
2004,win,05,Illinois,04,Cincinnati
2013,win,07,Illinois,10,Colorado
2013,win,01,Indiana,16,James Madison
2016,win,05,Indiana,04,Kentucky
2016,win,05,Indiana,12,Chattanooga
1994,win,05,Indiana,04,Temple
2013,win,01,Indiana,09,Temple
1994,win,05,Indiana,12,Ohio
1998,win,07,Indiana,10,Oklahoma
1992,win,10,Iowa St.,07,Charlotte
2014,win,03,Iowa St.,06,North Carolina
2014,win,03,Iowa St.,14,N.C. Central
2013,win,16,James Madison,16,LIU Brooklyn
2012,win,08,Kansas St.,09,Southern Miss.
1990,win,04,La Salle,13,Southern Miss.
2005,win,04,Louisville,13,Louisiana
2008,win,03,Louisville,02,Tennessee
2008,win,03,Louisville,06,Oklahoma
2005,win,04,Louisville,05,Georgia Tech
2005,win,04,Louisville,01,Washington
2015,win,04,Louisville,08,NC State
2003,win,04,Louisville,13,Austin Peay
2005,win,04,Louisville,07,West Virginia
1997,win,06,Louisville,03,New Mexico
2015,win,04,Louisville,13,UC Irvine
2008,win,03,Louisville,14,Boise St.
2015,win,04,Louisville,05,UNI
1997,win,06,Louisville,11,Massachusetts
1997,win,06,Louisville,10,Texas
2006,win,04,LSU,02,Texas
2006,win,04,LSU,01,Duke
2006,win,04,LSU,13,Iona
2006,win,04,LSU,12,Texas A&M
2014,win,08,Memphis,09,George Washington
1999,win,02,Miami (FL),15,Lafayette
2013,win,02,Miami (FL),07,Illinois
2013,win,02,Miami (FL),15,Pacific
2008,win,16,Mt. St. Mary's,16,Coppin St.
2017,win,16,Mt. St. Mary's,16,New Orleans
2014,win,04,Michigan St.,01,Virginia
2014,win,04,Michigan St.,12,Harvard
2015,win,07,Michigan St.,02,Virginia
2015,win,07,Michigan St.,03,Oklahoma
2015,win,07,Michigan St.,04,Louisville
2007,win,09,Michigan St.,08,Marquette
1998,win,04,Michigan St.,05,Princeton
1998,win,04,Michigan St.,13,Eastern Mich.
2014,win,04,Michigan St.,13,Delaware
2015,win,07,Michigan St.,10,Georgia
1986,win,08,Old Dominion,09,West Virginia
1995,win,14,Old Dominion,03,Villanova
2011,win,01,Ohio St.,16,UTSA
2011,win,01,Ohio St.,08,George Mason
2012,win,02,Ohio St.,07,Gonzaga
2012,win,02,Ohio St.,15,Loyola Maryland
2012,win,02,Ohio St.,06,Cincinnati
2012,win,02,Ohio St.,01,Syracuse
2005,win,08,Pacific,09,Pittsburgh
1991,win,13,Penn St.,04,UCLA
1999,win,10,Purdue,07,Texas
1999,win,10,Purdue,02,Miami (FL)
1987,win,03,Purdue,14,Northeastern
2016,win,14,SFA,03,West Virginia
1989,win,14,Siena,03,Stanford
2002,win,16,Siena,16,Alcorn
2002,win,11,Southern Ill.,03,Georgia
2002,win,11,Southern Ill.,06,Texas Tech
1993,win,05,St. John's (NY),12,Texas Tech
1990,win,06,St. John's (NY),11,Temple
1995,win,09,Saint Louis,08,Minnesota
1988,win,07,SMU,10,Notre Dame
1985,win,05,SMU,12,Old Dominion
1986,win,02,Syracuse,15,Brown
2011,win,03,Syracuse,14,Indiana St.
2003,win,03,Syracuse,01,Texas
1988,win,03,Syracuse,14,N.C. A&T
1985,win,07,Syracuse,10,DePaul
1987,win,02,Syracuse,06,Providence
2013,win,04,Syracuse,13,Montana
2003,win,03,Syracuse,02,Kansas
2003,win,03,Syracuse,14,Manhattan
2003,win,03,Syracuse,06,Oklahoma St.
2003,win,03,Syracuse,01,Oklahoma
2012,win,01,Syracuse,16,UNC Asheville
2013,win,04,Syracuse,03,Marquette
2012,win,01,Syracuse,08,Kansas St.
1987,win,02,Syracuse,06,Florida
1987,win,02,Syracuse,15,Ga. Southern
2003,win,03,Syracuse,10,Auburn
2013,win,04,Syracuse,01,Indiana
1992,win,06,Syracuse,11,Princeton
1987,win,02,Syracuse,01,North Carolina
2013,win,04,Syracuse,12,California
1987,win,02,Syracuse,10,Western Ky.
2012,win,01,Syracuse,04,Wisconsin
1987,win,04,TCU,13,Marshall
1994,win,04,Temple,13,Drexel
1985,win,08,Temple,09,Virginia Tech
1991,win,10,Temple,07,Purdue
1988,win,01,Temple,08,Georgetown
1999,win,06,Temple,10,Purdue
1999,win,06,Temple,03,Cincinnati
1988,win,01,Temple,13,Richmond
2013,win,09,Temple,08,NC State
1991,win,10,Temple,03,Oklahoma St.
2000,win,02,Temple,15,Lafayette
1988,win,01,Temple,16,Lehigh
1991,win,10,Temple,15,Richmond
1999,win,06,Temple,11,Kent St.
1997,win,10,Texas,07,Wisconsin
2009,win,07,Texas,10,Minnesota
2007,win,04,Texas,13,New Mexico St.
2006,win,02,Texas,15,Penn
2006,win,02,Texas,06,West Virginia
2004,win,03,Texas,14,Princeton
2006,win,02,Texas,10,NC State
1997,win,10,Texas,15,Coppin St.
2004,win,03,Texas,06,North Carolina
2005,win,06,Texas Tech,03,Gonzaga
1996,win,03,Texas Tech,14,Northern Ill.
1996,win,03,Texas Tech,06,North Carolina
2005,win,06,Texas Tech,11,UCLA
1985,win,06,Georgia,11,Wichita St.
2002,win,03,Georgia,14,Murray St.
1998,win,01,North Carolina,08,Charlotte
1997,win,01,North Carolina,05,California
1987,win,01,North Carolina,16,Penn
2011,win,02,North Carolina,11,Marquette
1987,win,01,North Carolina,05,Notre Dame
1993,win,01,North Carolina,04,Arkansas
1991,win,01,North Carolina,12,Eastern Mich.
1997,win,01,North Carolina,09,Colorado
1994,win,01,North Carolina,16,Liberty
2007,win,01,North Carolina,16,Eastern Ky.
1998,win,01,North Carolina,16,Navy
1991,win,01,North Carolina,16,Northeastern
1987,win,01,North Carolina,09,Michigan
2007,win,01,North Carolina,09,Michigan St.
1993,win,01,North Carolina,08,Rhode Island
1997,win,01,North Carolina,06,Louisville
2016,win,01,North Carolina,10,Syracuse
2016,win,01,North Carolina,09,Providence
2016,win,01,North Carolina,16,FGCU
1993,win,01,North Carolina,02,Kansas
2011,win,02,North Carolina,15,LIU Brooklyn
1991,win,01,North Carolina,09,Villanova
2014,win,06,North Carolina,11,Providence
2011,win,02,North Carolina,07,Washington
1997,win,01,North Carolina,16,Fairfield
2007,win,01,North Carolina,05,Southern California
1998,win,01,North Carolina,02,UConn
2008,win,01,North Carolina,16,Mt. St. Mary's
1996,win,06,North Carolina,11,New Orleans
1993,win,01,North Carolina,16,East Carolina
2008,win,01,North Carolina,09,Arkansas
2016,win,01,North Carolina,06,Notre Dame
2008,win,01,North Carolina,03,Louisville
1993,win,01,North Carolina,01,Michigan
1991,win,01,North Carolina,10,Temple
2016,win,01,North Carolina,05,Indiana
1993,win,01,North Carolina,02,Cincinnati
2008,win,01,North Carolina,04,Washington St.
1998,win,01,North Carolina,04,Michigan St.
2004,win,06,North Carolina,11,Air Force
2015,win,05,UNI,12,Wyoming
2010,win,03,New Mexico,14,Montana
1997,win,03,New Mexico,14,Old Dominion
1996,win,07,New Mexico,10,Kansas St.
1993,win,08,Rhode Island,09,Purdue
1988,win,11,Rhode Island,03,Syracuse
1988,win,11,Rhode Island,06,Missouri
2007,win,05,Southern California,12,Arkansas
2001,win,06,Southern California,11,Oklahoma St.
2001,win,06,Southern California,03,Boston College
2017,win,11,Southern California,06,SMU
2001,win,06,Southern California,02,Kentucky
2017,win,11,Southern California,11,Providence
2007,win,05,Southern California,04,Texas
2001,win,12,Utah St.,05,Ohio St.
2015,win,02,Virginia,15,Belmont
2014,win,01,Virginia,16,Coastal Caro.
1993,win,06,Virginia,03,Massachusetts
1993,win,06,Virginia,11,Manhattan
2014,win,01,Virginia,08,Memphis
2017,win,05,Virginia,12,UNCW
2012,win,05,Vanderbilt,12,Harvard
2007,win,06,Vanderbilt,03,Washington St.
2007,win,06,Vanderbilt,11,George Washington
2016,win,07,Wisconsin,10,Pittsburgh
2010,win,04,Wisconsin,13,Wofford
2012,win,04,Wisconsin,13,Montana
2017,win,08,Wisconsin,09,Virginia Tech
2012,win,04,Wisconsin,05,Vanderbilt
2017,win,08,Wisconsin,01,Villanova
2009,win,12,Wisconsin,05,Florida St.
2016,win,07,Wisconsin,02,Xavier
2002,win,08,Wisconsin,09,St. John's (NY)
1987,win,10,Western Ky.,07,West Virginia
2008,win,04,Washington St.,13,Winthrop
2007,win,03,Washington St.,14,Oral Roberts
2008,win,04,Washington St.,05,Notre Dame
2011,win,05,West Virginia,12,Clemson
2005,win,07,West Virginia,10,Creighton
2010,win,02,West Virginia,15,Morgan St.
2010,win,02,West Virginia,10,Missouri
2010,win,02,West Virginia,11,Washington
2006,win,06,West Virginia,14,Northwestern St.
2005,win,07,West Virginia,02,Wake Forest
2005,win,07,West Virginia,06,Texas Tech
2006,win,06,West Virginia,11,Southern Ill.
2010,win,02,West Virginia,01,Kentucky
1989,win,07,West Virginia,10,Tennessee
2009,win,04,Xavier,12,Wisconsin
2016,win,02,Xavier,15,Weber St.
2009,win,04,Xavier,13,Portland St.
2004,win,07,Xavier,10,Louisville
2004,win,07,Xavier,02,Mississippi St.
2004,win,07,Xavier,03,Texas
1998,win,08,Charlotte,09,Ill.-Chicago
2011,win,12,Clemson,12,UAB
1990,win,05,Clemson,04,La Salle
1990,win,05,Clemson,12,BYU
1986,win,14,Cleveland St.,03,Indiana
1986,win,14,Cleveland St.,06,Saint Joseph's
1997,win,09,Colorado,08,Indiana
2014,win,07,UConn,08,Kentucky
2014,win,07,UConn,01,Florida
2014,win,07,UConn,02,Villanova
